timestamp,free_heap_kb,stack_hwm_bytes,net_activity,msg_size,sign_time_ms,label,true_algo
1761018221715,237.62,6064,2,32,203.73,0,0
1761018223872,247.86,6064,1,128,121.21,1,0
1761018226014,237.62,6064,2,32,141.76,1,0
1761018228174,247.7,6064,1,256,158.83,1,0
1761018230334,237.62,6064,2,32,158.66,1,0
1761018232570,242.02,6064,1,1024,235.3,0,0
1761018234924,247.86,6064,1,128,352.07,0,0
1761018237101,237.62,6064,2,512,176.19,1,0
1761018239323,247.86,6064,1,32,220.89,0,0
1761018241686,237.62,6064,2,32,361.59,0,0
1761018243835,247.86,6064,1,64,147.89,1,0
1761018246399,237.62,6064,2,512,563.88,0,0
1761018249974,247.86,6064,1,128,1573.48,0,0
1761018252228,237.62,6064,2,32,253.73,0,0
1761018254597,247.86,6064,1,256,368.45,0,0
1761018256748,237.62,6064,2,128,149.79,1,0
1761018258885,247.86,6064,1,64,137.19,1,0
1761018262470,237.62,6064,2,512,1584.28,0,0
1761018264819,247.86,6064,1,32,347.14,0,0
1761018267280,237.62,6064,2,64,460.49,0,0
1761018269633,247.86,6064,1,256,351.39,0,0
1761018271786,237.62,6064,2,512,151.2,1,0
1761018273945,247.86,6064,1,256,157.99,1,0
1761018277444,237.51,6064,1,256,1497.45,0,0
1761018280943,237.43,6064,2,1024,1496.37,0,0
1761018283154,248.06,6064,1,64,209.37,0,0
1761018285340,237.62,6064,2,1024,184.58,1,0
1761018287555,243.18,6064,1,64,214.55,0,0
1761018291443,247.86,6064,1,32,1886.35,0,0
1761018293598,237.62,6064,2,32,153.0,1,0
1761018295937,248.06,6064,1,32,338.83,0,0
1761018298330,237.62,6064,2,128,390.58,0,0
1761018300664,248.06,6064,1,32,333.96,0,0
1761018302810,237.62,6064,2,64,145.06,1,0
1761018304961,248.06,6064,1,512,149.04,1,0
1761018307114,237.62,6064,2,512,152.87,1,0
1761018309262,248.06,6064,1,128,146.98,1,0
1761018311412,237.62,6064,2,128,148.55,1,0
1761018315029,244.81,6064,1,512,1614.99,0,0
1761018320164,247.86,6064,1,64,9999.0,0,0
1761018323442,237.62,6064,2,64,1276.92,0,0
1761018325977,248.06,6064,1,32,533.61,0,0
1761018328312,237.62,6064,2,512,333.9,0,0
1761018330595,248.06,6064,1,1024,280.9,0,0
1761018334452,237.62,6064,2,512,1854.97,0,0
1761018336601,248.06,6064,1,1024,147.86,1,0
1761018338753,237.62,6064,2,512,150.92,1,0
1761018340932,248.06,6064,1,1024,177.38,1,0
1761018343095,237.62,6064,2,32,161.54,1,0
1761018345241,248.03,6064,1,256,144.38,1,0
1761018349196,248.06,6064,1,1024,1953.24,0,0
1761018351357,237.62,6064,2,1024,158.29,1,0
1761018353545,247.86,6064,1,64,186.19,1,0
1761018356106,237.62,6064,2,64,560.75,0,0
1761018358424,244.65,6064,1,32,316.98,0,0
1761018360571,247.86,6064,1,128,145.98,1,0
